,tweets_en,sentistrength
310,i think my phone being weird because i haven’t installed ios 14 yet,"{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.1779}"
319,Y’all just using this iPhone and iOS 14 all wrong. I don’t like det.,"{'neg': 0.187, 'neu': 0.663, 'pos': 0.151, 'compound': -0.1531}"
320,"I will try to make my homescreen like ios 14, the thing is that it will not be combined, it will be pal peak","{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.3612}"
322,I’m so sorry if you’re an iPhone user. You might want to switch to an Android with the new Apple iO…,"{'neg': 0.073, 'neu': 0.868, 'pos': 0.059, 'compound': -0.0754}"
325,I’m scared to update to iOS 14.1,"{'neg': 0.326, 'neu': 0.674, 'pos': 0.0, 'compound': -0.4404}"
333,"Since I updated my 6s to iOS 14.1, when it charges is always getting hot, what the hell... #iOS14","{'neg': 0.11, 'neu': 0.89, 'pos': 0.0, 'compound': -0.2732}"
340,"My phone installed the IOS 14 update on its own, I have serious hatred","{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.6705}"
342,"same, since I updated to ios 14 this bitch be acting up","{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.6705}"
351,HOW DO YOU GUYS HAVE THESE EMOJIS. I HAVE IOS 14 (ik yara doesn’t have that but shut up) IM SO CONFUSED MY FIENDS…,"{'neg': 0.203, 'neu': 0.797, 'pos': 0.0, 'compound': -0.7642}"
354,"and if i stop pretending i have the ios 14 layout, even because my cell is android and put Liam's photo in place ???","{'neg': 0.114, 'neu': 0.829, 'pos': 0.058, 'compound': -0.327}"
356,Best thing about ios 14 is being able to watch video in miniature. Fuck not power on youtube,"{'neg': 0.148, 'neu': 0.675, 'pos': 0.177, 'compound': 0.1779}"
360,"Shocked, wake up ""iOS phone changed to 14. I don't want to upgrade iOS :(","{'neg': 0.369, 'neu': 0.631, 'pos': 0.0, 'compound': -0.6621}"
379,amig joga no search ios 14.1 com o número do seu celular aí aparece um monte de coisa foi assim q decidi atualizar,"{'neg': 0.099, 'neu': 0.901, 'pos': 0.0, 'compound': -0.296}"
383,"Ohh ohhh I think this iPhone was updated to iOS 14, thus no FMI magic for now. Not even passcode bypass.…","{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.296}"
408,I discovered a respring bug on iOS 14.1 on iPhone 11 I have no jb,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}"
418,One thing IEALLY dislike about the AirPods Pro is that “Hey Siri” only works if the device has “Listen for Hey Si…,"{'neg': 0.11, 'neu': 0.89, 'pos': 0.0, 'compound': -0.3818}"
444,i’ve neglected to install ios 14 since it came out and my phone said that’s enough of that and is forcing it to be installed tonight,"{'neg': 0.12, 'neu': 0.88, 'pos': 0.0, 'compound': -0.5267}"
448,Kusang nag update phone ko sa ios 14 ayan tuloy bumagal kainis 🙄,"{'neg': 0.185, 'neu': 0.815, 'pos': 0.0, 'compound': -0.3612}"
456,yo solo queria un ringtone personalizado pero no tengo ios 14.0 :((,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}"
463,e o iOS 14 botando acento no tô 😡,"{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.296}"
465,Bro this iOS 14 message is annoying ong,"{'neg': 0.278, 'neu': 0.722, 'pos': 0.0, 'compound': -0.4019}"
467,Obrigada IOS 14 por deixar eu ver vídeo e mexer nos outros trem ao mesmo tempo. Porém a bateria dura menos que meh dinheiro né?,"{'neg': 0.056, 'neu': 0.944, 'pos': 0.0, 'compound': -0.0772}"
471,"Okay, how bad is iOS 14.1 gonna be?","{'neg': 0.307, 'neu': 0.526, 'pos': 0.167, 'compound': -0.3818}"
472,"Why is the new Sleep schedule thing so damn complicated on iOS 14.1? It used to be easy: set it and it works. Now,…","{'neg': 0.123, 'neu': 0.775, 'pos': 0.102, 'compound': -0.1509}"
480,Unpopular opinion: I hate iOS 14,"{'neg': 0.481, 'neu': 0.519, 'pos': 0.0, 'compound': -0.5719}"
498,since die ios 14 is mijn tel zo traaaaaaaag geworden jnoen,"{'neg': 0.281, 'neu': 0.719, 'pos': 0.0, 'compound': -0.5994}"
513,iOS 14.1 on iPhone 12 after a week - Instagram still looks weird and crashes - Tweetbot crashes and then doesn't remember position in ti…,"{'neg': 0.075, 'neu': 0.925, 'pos': 0.0, 'compound': -0.1779}"
523,Ever since I updated my phone to iOS 14 it’s been straight garbage. Apple thinks they’re low key.,"{'neg': 0.111, 'neu': 0.789, 'pos': 0.1, 'compound': -0.0516}"
543,"My phone has been glitching ever since I updated to iOS 14, These bitches really want me to get a new phone don’t they!? Argh 😠","{'neg': 0.157, 'neu': 0.784, 'pos': 0.059, 'compound': -0.5572}"
557,ah shit I gotta get ios 14,"{'neg': 0.419, 'neu': 0.581, 'pos': 0.0, 'compound': -0.5574}"
560,.is there a glitch with the new IOS 14.1 that you can no longer search on the search bar when you swipe right?,"{'neg': 0.095, 'neu': 0.905, 'pos': 0.0, 'compound': -0.296}"
596,IM LATE BUT I FUCKING FINALLY WAS ABLE TO UPDATE MY IPHONE TO THE IOS 14 😭 but- how the fuck do u edit this shit 🤡,"{'neg': 0.336, 'neu': 0.664, 'pos': 0.0, 'compound': -0.9122}"
597,"Bitcoin Struggles Near $14,000 As Election Uncertainty Continues - Forbes via BTCnews for iOS","{'neg': 0.308, 'neu': 0.692, 'pos': 0.0, 'compound': -0.5994}"
606,My Face ID ain’t working here we go fucking Apple forcing me to update my iOS. I don’t want iOS 14 wtf,"{'neg': 0.158, 'neu': 0.788, 'pos': 0.054, 'compound': -0.5423}"
620,I miss the pre iOS 14 days when my timer showed up on my lock screen,"{'neg': 0.103, 'neu': 0.897, 'pos': 0.0, 'compound': -0.1531}"
623,since ios 14 my count has become so traaaaaaaag ynoen,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
637,2024: - The next US election is underway - Apple no longer gives iPhones/iOS numerical names - Apple glasses &amp; PS5…,"{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.296}"
665,Bro my phone updated last night to iOS 14 when I was sleep and I’m fucking pissed 😤 this shit mad confusing,"{'neg': 0.47, 'neu': 0.53, 'pos': 0.0, 'compound': -0.9346}"
669,yako nga mag update ios 14 tas nag update ng kusa? Good,"{'neg': 0.162, 'neu': 0.649, 'pos': 0.188, 'compound': 0.1027}"
670,🏆 | Vote for #MONSTA_X and #WONHO for AAA 2020 Android: IOS: • Collect with…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
680,Omg im just happy the damn IOS 14 beta update notification bug is fixed. Holly hell that was annoying XD,"{'neg': 0.301, 'neu': 0.451, 'pos': 0.248, 'compound': -0.1943}"
684,🔥 GOT NEW EXPLOIT FOR MOTORCYCLE #JAILBEAK # iOS14 💀 🎥 📲 More devices are now compa…,"{'neg': 0.162, 'neu': 0.838, 'pos': 0.0, 'compound': -0.2808}"
688,No tenía queja del mío hasta que lo llevé a iOS 14. 😥,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.296}"
694,"#AloADT On Safari on the Mac and on iOS / ipad (Catalina / 14) almost daily, when I go to a website…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
696,"I was updated about IOS 14 and I do not know how to accommodate the screen, someone help you 😂😂🥺","{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.4019}"
698,Stupid iOS 14 has ruined my phone’s battery life. #Apple #iOS14 @AppleSupport,"{'neg': 0.394, 'neu': 0.606, 'pos': 0.0, 'compound': -0.7579}"
701,Stupid iOS 14 has ruined my phone’s battery life. #Apple #iOS14 @AppleSupport,"{'neg': 0.394, 'neu': 0.606, 'pos': 0.0, 'compound': -0.7579}"
730,euphoria ariana grande chris evans animal crossing nudes 18+ leak leaked thread bts harry styles charli damelio noa…,"{'neg': 0.196, 'neu': 0.625, 'pos': 0.179, 'compound': 0.1531}"
735,andom iOS 14 pro tip: You can now block certain apps from a category (instead of all apps in a category) in Screen…,"{'neg': 0.121, 'neu': 0.792, 'pos': 0.088, 'compound': -0.2023}"
740,Literally tried everything in the book. Nothing worked. Apple Support tech told me their…,"{'neg': 0.148, 'neu': 0.852, 'pos': 0.0, 'compound': -0.3089}"
742,ios 14 been pissing me off,"{'neg': 0.351, 'neu': 0.649, 'pos': 0.0, 'compound': -0.4019}"
752,They said it might be iOS 14.1 I didn’t have the problem with iOS 14 original update,"{'neg': 0.142, 'neu': 0.737, 'pos': 0.121, 'compound': -0.1027}"
762,[request] tweak to hide this feature on iOS 14,"{'neg': 0.175, 'neu': 0.825, 'pos': 0.0, 'compound': -0.1779}"
774,nevada update your software or some shit 😭 yall using ios 14 ?,"{'neg': 0.265, 'neu': 0.735, 'pos': 0.0, 'compound': -0.5574}"
777,"Also, can we talk about the bugs that Shortcuts is still having on iOS 14? The Quick Look action is having a midlife crisis.","{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.6249}"
780,IOS 14 update fucked up my iPhone,"{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.6597}"
785,Is it weird iOS 14 comes out tonight?,"{'neg': 0.195, 'neu': 0.805, 'pos': 0.0, 'compound': -0.1779}"
791,i know there is way more serious stuff going on but: the iOS 14 update sucks so bad and Apple should change the podcast app back,"{'neg': 0.329, 'neu': 0.671, 'pos': 0.0, 'compound': -0.8953}"
795,"Nah frfr , fucc iOS 14 fr , uAh blocc a number n calls ah still be comin thru 😤🤦🏾‍♂️","{'neg': 0.084, 'neu': 0.838, 'pos': 0.078, 'compound': -0.0258}"
804,NEW Install Pokemon Go Spoofer iOS 14 13 NO Jailbreak/Computer! POKEMON ... via @YouTube,"{'neg': 0.199, 'neu': 0.801, 'pos': 0.0, 'compound': -0.4981}"
812,The WOST thing about iOS 14 is when you download &amp; app and then have to go find it,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
818,Check it. French Antitrust Complaint Against Apple Centers on Ad Tracking Changes in iOS 14 #tech #d…,"{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.296}"
836,"I do not have androidddd, it was updated to ios 14","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
850,"voy a hacer el coso de ios 14, dejen sus velas para q no me ponga de mal humor a los 5 segundos porq no me sale🕯🕯🕯🕯🕯","{'neg': 0.166, 'neu': 0.755, 'pos': 0.079, 'compound': -0.3182}"
861,Friend but this is iOS 11 bug we are no 14,"{'neg': 0.201, 'neu': 0.647, 'pos': 0.151, 'compound': -0.1779}"
867,I regret updating to iOS 14. It’s been draining my battery ever since.,"{'neg': 0.203, 'neu': 0.797, 'pos': 0.0, 'compound': -0.4215}"
869,Does everyone agree that IOS 14.1 is rolling up the iPhone X battery? For 5h of screen on iOS 13.7 my ba…,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}"
870,Someone tell me how I get this iOS 14 bullshit off my phone🤦🏼‍♂️🤦🏼‍♂️ shit sucks,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.872}"
873,"look, I thank ios 14 that lets me continue doing my things without having to wait 3 hours for the call to hang up","{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.3612}"
883,[request] tweak to hide this feature on iOS 14,"{'neg': 0.175, 'neu': 0.825, 'pos': 0.0, 'compound': -0.1779}"
899,"If you don't like the compact display of FaceTime, Siri, and incoming calls in iOS 14, find out how to change the d…","{'neg': 0.088, 'neu': 0.912, 'pos': 0.0, 'compound': -0.2755}"
908,ariana grande chris evans animal crossing nudes 18+ leak leaked thread bts harry styles charli damelio noah beck ti…,"{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.5719}"
914,"No tengo JB, uso iOS 14.1. 😔","{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.296}"
919,News: The WiFi industry is troubled with @Apple’s new ‘Private Address’ privacy setting in iOS 14 due to it randomizing…,"{'neg': 0.136, 'neu': 0.864, 'pos': 0.0, 'compound': -0.4588}"
926,I have a feeling I’ve done something wrong with - I can’t change my icon colour (iOS 14.1). It says…,"{'neg': 0.167, 'neu': 0.753, 'pos': 0.081, 'compound': -0.3818}"
928,"shit! and the only way to use checkra1n on A11 iOS 14 rn is by disabling SEP, therefore defeating the purpose of testing BFU :p","{'neg': 0.291, 'neu': 0.637, 'pos': 0.073, 'compound': -0.8016}"
938,Widgets de IOS 14.1 😌Y sin iPhone 12 :v,"{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.5574}"
941,and according to the update on ios 14. did I get it because my phone fell asleep,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
942,"Oh, man, this new dialer thing on ios 14 is driving me nuts. Have to go back to the call itself and not into the di…","{'neg': 0.084, 'neu': 0.916, 'pos': 0.0, 'compound': -0.3182}"
946,"Utilize endereços Wi-Fi privados no iOS 14, iPadOS 14 e watchOS 7","{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.296}"
947,So - I absolutely detest the version of Translate you snuck on my iPhone X with iOS 14.1. Detest it. Terrible. Ugh. Bummed.,"{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.7096}"
951,"Para proteger ainda mais a sua privacidade, no iPhone, iPad, iPod touch ou Apple Watch, pode utilizar um endereço MAC diferent…","{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.296}"
952,"If your device is no longer enrolled, you’ll need to re-enroll to receive the latest update:…","{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.296}"
954,It’s a known problem with iOS 14.1 and unfortunately won’t be fixed until Apple release 14.2. The bad ne…,"{'neg': 0.364, 'neu': 0.636, 'pos': 0.0, 'compound': -0.8225}"
968,"Para proteger ainda mais a sua privacidade, no iPhone, iPad, iPod touch ou Apple Watch, pode utilizar um endereço M…","{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.296}"
969,I regret updating to iOS 14. It’s been draining my battery ever since.,"{'neg': 0.203, 'neu': 0.797, 'pos': 0.0, 'compound': -0.4215}"
974,Yrabi 😭 I’m just updating iOS 14.1 and unfortunately takboleh call org and setting semua takboleh up…,"{'neg': 0.138, 'neu': 0.862, 'pos': 0.0, 'compound': -0.34}"
975,i don't like ios 14 at all,"{'neg': 0.297, 'neu': 0.703, 'pos': 0.0, 'compound': -0.2755}"
985,Check it. French Antitrust Complaint Against Apple Centers on Ad Tracking Changes in iOS 14,"{'neg': 0.136, 'neu': 0.864, 'pos': 0.0, 'compound': -0.296}"
988,IOS 14 can kiss my ass. its a glitch for sending attachments in emails. I'm so sick. I gotta manually upload pictur…,"{'neg': 0.27, 'neu': 0.559, 'pos': 0.171, 'compound': -0.5915}"
994,Ich bin immer wieder total schockiert wie nach 14 Jahren iOS die Tastatur so viele Fehler macht wenn ich tippe!!! Warum werden s…,"{'neg': 0.178, 'neu': 0.822, 'pos': 0.0, 'compound': -0.6981}"
1002,look away euphoria ariana grande chris evans animal crossing nudes 18+ leak leaked thread bts harry styles charli d…,"{'neg': 0.188, 'neu': 0.64, 'pos': 0.172, 'compound': 0.1531}"
1003,"Discovered a weird auto-brightness bug with iOS 14. Phone was stuck being super dark and now has randomly fixed itself, how odd","{'neg': 0.223, 'neu': 0.632, 'pos': 0.145, 'compound': -0.0258}"
1006,$14.1K: Bitcoin Breaks New 2020 High With US Election Still Undecided - CoinDesk via BTCnews for iOS,"{'neg': 0.112, 'neu': 0.888, 'pos': 0.0, 'compound': -0.2263}"
1008,"an update to the app, but no iOS 14 widget? #GoSpursGo","{'neg': 0.219, 'neu': 0.781, 'pos': 0.0, 'compound': -0.4215}"
1011,"Apple release the MagSafe charger, and aluva sudden iOS 14.1 update came and iPhone no free charge with Qi wireless…","{'neg': 0.094, 'neu': 0.766, 'pos': 0.14, 'compound': 0.2732}"
1015,My iPhoneX won’t stop alerting me to an update to iOS 14.1 it wants to push tonight. I dismiss it and it returns a…,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.296}"
1030,iOS 14 ruined my keyboard what wtf,"{'neg': 0.58, 'neu': 0.42, 'pos': 0.0, 'compound': -0.7845}"
1034,Anyone else hate iOS 14???,"{'neg': 0.515, 'neu': 0.485, 'pos': 0.0, 'compound': -0.6416}"
1042,ios 14 is so goddamn. fast??.?27;8 why didn’t i update earlier whoosh,"{'neg': 0.312, 'neu': 0.688, 'pos': 0.0, 'compound': -0.6738}"
1051,luh pucha nag ud yung phone ko into ios 14 ampppp dhfkdhdsjsj,"{'neg': 0.185, 'neu': 0.815, 'pos': 0.0, 'compound': -0.3612}"
1058,i finally did the ios 14 update and it’s fucked up my whole phone i’m so sad everyone hyped me up for it and all it…,"{'neg': 0.267, 'neu': 0.733, 'pos': 0.0, 'compound': -0.8552}"
1062,The device support trick stopped working around iOS 14 beta 2 or 3. One (poor) workaround is to bui…,"{'neg': 0.149, 'neu': 0.721, 'pos': 0.13, 'compound': 0.1531}"
1063,No idea why my 6s want iOS 14 so bad,"{'neg': 0.446, 'neu': 0.467, 'pos': 0.087, 'compound': -0.75}"
1082,Anyone on ios 14.1 having trouble charging?,"{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.4019}"
1090,News: The WiFi industry is troubled with @Apple’s new ‘Private Address’ privacy setting in iOS 14 due to it random…,"{'neg': 0.136, 'neu': 0.864, 'pos': 0.0, 'compound': -0.4588}"
1091,I have an iPhone X. Since I’ve installed IOS 14 I no longer get an audible tone when I get a text mes…,"{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.296}"
1098,The unlocking for iCloud for models like iPhone X / XS / 11 / Pro / Pro Max with iOS 14 does not exist Do not invent,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.3612}"
1122,I don’t have plans na iupdate to ios 14 pero unfortunately nagauto update pala huhu then idk if thats the reason pe…,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.4215}"
1126,thought ios 14.2 was going out today :(,"{'neg': 0.293, 'neu': 0.707, 'pos': 0.0, 'compound': -0.4404}"
1130,niggas be on twitter like “y’all like my iOS 14 layout” no nigga how bout you go layout some bitches,"{'neg': 0.298, 'neu': 0.526, 'pos': 0.175, 'compound': -0.5423}"
1131,anyone else having really bad customer service when asking for help with problems caused by iOs 14.x..,"{'neg': 0.28, 'neu': 0.604, 'pos': 0.116, 'compound': -0.5849}"
1138,I never like the new IOS 14 like i did this days.,"{'neg': 0.345, 'neu': 0.655, 'pos': 0.0, 'compound': -0.4973}"
1141,"Hey @apple. Your iOS 14 App Library update is awful. Please allow us the option to disable it, and stop trying to f…","{'neg': 0.183, 'neu': 0.669, 'pos': 0.148, 'compound': -0.25}"
1145,Updated to iOS 14 and my keyboard is beyond laggy and my battery life went to shit. Nice,"{'neg': 0.161, 'neu': 0.714, 'pos': 0.125, 'compound': -0.2023}"
1152,"Haven’t updated my phone, is it worth updating to IOS 14.1 or no? 👀","{'neg': 0.146, 'neu': 0.728, 'pos': 0.126, 'compound': -0.0772}"
1154,"Before iOS 14, couldn’t you set alarms for future dates? Why get rid of that?","{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.3527}"
1166,Finally got around to downloading iOS 14 and I’m so overwhelmed idk where to start,"{'neg': 0.103, 'neu': 0.798, 'pos': 0.099, 'compound': -0.016}"
1168,"Oh no! Why are you on watchOS 4 and iOS 14? The progression is 7 &amp; 14, 6 &amp; 13, 5 &amp; 12, and so-on. Do you ha…","{'neg': 0.098, 'neu': 0.902, 'pos': 0.0, 'compound': -0.3595}"
1172,"been getting this error for days in your app (website is fine) can you please look into it? Iphone 12, iOS…","{'neg': 0.128, 'neu': 0.778, 'pos': 0.094, 'compound': -0.2083}"
1176,French Antitrust Complaint Against Apple Centers on Ad Tracking Changes in iOS 14 #ABASAL #antitr…,"{'neg': 0.136, 'neu': 0.864, 'pos': 0.0, 'compound': -0.296}"
1180,"Also, I’m not sure this is specific to TBP as I’ve seen other shortcuts hang the same way. I think t…","{'neg': 0.094, 'neu': 0.906, 'pos': 0.0, 'compound': -0.2411}"
1182,French Antitrust Complaint Against Apple Centers on Ad Tracking Changes in iOS 14 #ABASAL #antitrust #CPOMagazine,"{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.296}"
1191,People still asking answered questions 😩: Signal / Calls for MEID Hello Screen NO! Signal / Calls for 5S Hello Sc…,"{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.4981}"
1198,Please fix regular Version's common certification. That’s the only pandaheler working on iOS 14.1 :/,"{'neg': 0.136, 'neu': 0.734, 'pos': 0.13, 'compound': -0.0258}"
1205,"i tried to update it to ios 14 but for some reason it wouldn’t work, it kept saying there was a error while installing","{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.5499}"
1208,Pinpoint seems to have stopped saving screenshots not sure if this is iOS 14.1 or changing to iPhone 1…,"{'neg': 0.185, 'neu': 0.815, 'pos': 0.0, 'compound': -0.4333}"
1219,Apple wants me to download this iOS 14 so bad w constant reminders. Ion want that ugly widget screen!,"{'neg': 0.332, 'neu': 0.615, 'pos': 0.053, 'compound': -0.8309}"
1225,hi Aaron is this a bug or something is wrong with my phone i am running ios 14.2,"{'neg': 0.171, 'neu': 0.829, 'pos': 0.0, 'compound': -0.4767}"
1240,iOS 14.1’s calendar update is hideous and makes everything difficult to read. Typical Apple.,"{'neg': 0.161, 'neu': 0.839, 'pos': 0.0, 'compound': -0.3612}"
1247,Stop revokes IOS 13 / 14 | No revokes iOS 13 / iOS 14 Tweak | No revokes Jailbreak iOS 14 / iOS 13 #checkra1n #2020 #ios14 #…,"{'neg': 0.248, 'neu': 0.752, 'pos': 0.0, 'compound': -0.6808}"
