,tweets_en,sentistrength
33,🔥Excellent Tweaks on iOS 14.1🔥 Subscribe to the channel😎 Leave your like the video❤️! ! ! ! ! 🎥,"{'neg': 0.071, 'neu': 0.711, 'pos': 0.217, 'compound': 0.5374}"
34,🔥TWEAKS VERY LOCOS🔥 🔥PAA iOS 14.1 FRIENDS🔥 Subscribe to the channel😎 Leave your like to the video❤️! ! ! ! ! 🎥,"{'neg': 0.06, 'neu': 0.755, 'pos': 0.185, 'compound': 0.5374}"
35,"Pixel 5 turns into a smart charging pad, iOS 14 back tap, more tech news today!","{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.4574}"
36,"Since I updated to iPhone 12 Pro, been having intermittent issues with MMS and group chats involving a non-iPhone u…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
37,Thanks iOS 14 since I dodge every time someone calls me,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}"
38,"O Allah, I don't want iOS 14, but I update myself pie iki😡😡😡😡","{'neg': 0.11, 'neu': 0.89, 'pos': 0.0, 'compound': -0.0286}"
39,How to jelbrek iOS 14.2 bro.. help bro please!,"{'neg': 0.0, 'neu': 0.569, 'pos': 0.431, 'compound': 0.6476}"
40,Wow! I wonder if iOS 14 widgets can be layered! !! Interesting,"{'neg': 0.0, 'neu': 0.54, 'pos': 0.46, 'compound': 0.8257}"
41,"Develop an iOS 14 Widget in Flutter with SwiftUI | by Thomas Leiter | Oct, 2020 | ITNEXT #flutter #swiftui #dev #swift #…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
42,"Hello!!!! No other way, I have very, very, very important tests until next week... I hope you can take a closer look at the scenario'Yeon End Battle' I wrote before... Until midnight on November 14th!!! Will you temporarily release it...","{'neg': 0.11, 'neu': 0.736, 'pos': 0.154, 'compound': 0.441}"
44,"Try this, keep your phone rotated when you open the game ( quit the game first ) wait…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
45,"Develop an iOS 14 Widget in Flutter with SwiftUI | by Thomas Leiter | Oct, 2020 | ITNEXT #flutter #swiftui #dev…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
46,.quietly launched a new tool in its iOS 14 launch in September that transforms the back of an iPhone into a touc…,"{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.128}"
47,APPLE MUSIC❗️ Activation 23 / 3mth (iOS 14 25k / 3mth) Extend 28k / 3mth (iOS 14 30k / 3mth) Warranty💯 Testimon ...,"{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.1779}"
48,APPLE MUSIC❗️ Activation 23 / 3mth (iOS 14 25k / 3mth) Extend 28k / 3mth (iOS 14 30k / 3mth) Warranty💯 Test ...,"{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.1779}"
49,Most viewed videos within a month of downloading 🥰 Add an image to the iPhone screen in iOS 14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
50,halo! aku ready premium apps &amp; full garansi yaa! 🙆✨ • netflix premium • spotify premium • youtube premium • viu •…,"{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.4738}"
51,NONAME GSM BYPASS 📌7/X NOMEID ✅🔓 iOS 12/13/14 Fully working on IOS 14 0% Bugs 10 FEE GIVEAWAY FO 10 USE…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
52,SO KESEL TO UPDATE IOS 14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
53,bugs in iOS 14.2 whenever I send messages in iMessage Group group photo gets removed automatically.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
54,"I'm not used to it, so I want you to stop ...","{'neg': 0.17, 'neu': 0.695, 'pos': 0.135, 'compound': -0.1176}"
55,🌻 Apple Music 🌻 • Aktivasi (bisa ios 14) 15k/3 bulan • Perpanjang (ios 14❌) 20k/3 bulan ✅legal &amp; garansi ✅need…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
56,I don’t like this whole “featured photo” on the iOS 14 update bc I know it’s just a matter of time before a nude pops u…,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.3818}"
57,Apple really wants me to download this update. Just aggressive with the notifications.. Is my big dicked but thoughtful and…,"{'neg': 0.057, 'neu': 0.793, 'pos': 0.15, 'compound': 0.4767}"
58,SELL APPLE MUSIC 🍑 Activation / 3mth 🍑 PPJ / 3mth 🍑 IOS 14 ...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
59,.quietly launched a new tool in its iOS 14 launch in September that transforms the back of an iPhone into a…,"{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.128}"
60,my phone updated to ios 14 i wanted to fix the home screen in that cute way but i'm lazy ❤️,"{'neg': 0.14, 'neu': 0.774, 'pos': 0.086, 'compound': -0.3071}"
61,"Summary of new features in iOS 14. Home screen, widgets, Siri and more. # WWDC20 | Gizmodo Japan","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
63,"The problem that the battery runs out immediately after updating to iOS 14, Apple's countermeasure is ""Back up and restore from iPhone erase reset"" | Gizmodo Japan","{'neg': 0.093, 'neu': 0.83, 'pos': 0.076, 'compound': -0.128}"
64,My calendar events have been showing blank in the iOS Outlook app for the past 2 days. Any ideas on how to…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
65,"✧.🍿 APPLE MUSIC ✅ Legal &amp; bergaransi ✅ Private , bisa email cust ✅ Bisa di android &amp; ios ✅ Aktivasi &amp; perpanjanga…","{'neg': 0.0, 'neu': 0.919, 'pos': 0.081, 'compound': 0.128}"
66,It can update ios 14 hahahahaha,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
67,my phone updated alone ios 14 i want you to die,"{'neg': 0.415, 'neu': 0.493, 'pos': 0.092, 'compound': -0.6808}"
69,"Apple radio 248 is online: One More Thing - preview of the Apple event, iPad Air 2020 in the Apple radio test, quarterly figures, iOS 1 ...","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
70,"Hello Sis! anyone still looking for Premium Apps? let's just go ahead and DM for the order, about the guaranteed price is 100% cheap, legal‼ ️ 📌 ...","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
71,iOS's ton demo conversion is still alive even when it reaches 14.,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.4215}"
72,I can't sleep and my cell updated alone for ios 14,"{'neg': 0.182, 'neu': 0.818, 'pos': 0.0, 'compound': -0.25}"
73,Most viewed videos within a month of downloading 🥰 Add an image to the iPhone screen in iOS 14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
74,THE COLO OFFICIALLY STICKS WITH THE IOS 14 UPDATE,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
76,so i heard we’re posting ios 14 home screens,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
77,"Hello Sis! anyone still looking for Premium Apps? let's just write the DM for the order, okay?","{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.372}"
78,📍GSM bypass 10 USD. 📍Calls/LTE/4G/3G/ notifications /FaceTime / iMessage / iCloud login / Appstore. 📍Windows to…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
79,"Hello Sis! anyone still looking for Premium Apps? let's just go ahead and DM for the order, about the price you guarantee ...","{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.3164}"
80,Enjoy the music with premium! 💫Spotify - 18k / mo - extend 20k / mo 💫Apple music - 20k / 3 months. Can for iOS 14 ...,"{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.636}"
81,"Hello Sis! anyone still looking for Premium Apps? let's just go ahead and DM for the order, about the guaranteed price is mura ...","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
82,i will update my cell phone to ios 14 now and i will sleep,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
84,"Hello Sis! anyone still looking for Premium Apps? let's just go ahead and DM for the order, about the guaranteed price is mura ...","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
86,"Hello Sis! anyone still looking for Premium Apps? let's just go ahead and DM for the order, about the price you guarantee ...","{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.3164}"
87,"Hello Sis! anyone still looking for Premium Apps? let's just go ahead and DM for the order, about the guaranteed price is mura ...","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
88,"Hello Sis! anyone still looking for Premium Apps? let's just go ahead and DM for the order, about the guaranteed cheap price 10 ...","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
89,MY BATTERY LIFE DEPLETES FASTER THAN MY ATTENTION SPAN. THANKS IOS 14.,"{'neg': 0.0, 'neu': 0.752, 'pos': 0.248, 'compound': 0.5622}"
90,ios 14 really like that,"{'neg': 0.0, 'neu': 0.589, 'pos': 0.411, 'compound': 0.4201}"
91,✨ Can activate and renew Apple Music iOS 14. WITHOUT ASKING PASSWOD t buy and sell activation to extend Apple Music Premium,"{'neg': 0.0, 'neu': 0.918, 'pos': 0.082, 'compound': 0.1779}"
92,"Hello Sis! anyone still looking for Premium Apps? let's just go ahead and DM for the order, ok? about the guaranteed price, nuts ...","{'neg': 0.109, 'neu': 0.81, 'pos': 0.081, 'compound': -0.1906}"
93,"Hello Sis! anyone still looking for Premium Apps? let's just go ahead and DM for the order, ok? about the guaranteed price, nuts ...","{'neg': 0.109, 'neu': 0.81, 'pos': 0.081, 'compound': -0.1906}"
94,do you recommend iOS 14?,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.3612}"
95,So that's interesting. With me without any problems. iOS 14.1 for iPhone X and iPad AI 2019. I just don't use Gmail and Gboard.,"{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0.6412}"
96,"I haven't touched anything because I'm still busy after updating iOS 14, but Wangkai in the main...","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
97,Information about SnapBridge app iOS 14 / iPad OS 14 support is no good. I can not connect it.,"{'neg': 0.101, 'neu': 0.642, 'pos': 0.257, 'compound': 0.5267}"
98,"Thank you for the maintenance. By the way, you may have missed the announcement, but is it okay to update iOS anymore? It has been on hold since iOS 12, but it seems that it will be 14 when it is updated now ...","{'neg': 0.034, 'neu': 0.878, 'pos': 0.088, 'compound': 0.3612}"
99,🌻 Apple Music 🌻 • Aktivasi (bisa ios 14) 15k/3 bulan • Perpanjang (ios 14❌) 20k/3 bulan ✅legal &amp; garansi ✅need a…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
100,I sell Netflix sharing spotify apple music ios 14 viu youtube premium canva pro huh! 😉 Order can be via dm or line ...,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.4753}"
101,Most overrated and Most underrated lists of 2020 Overrated 1) oneplus nord 2 ) oxygen OS 3) iOS 14 4) EXYNOS 990 issue 5)…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
102,"If you know, update iOS 14 hahahahah","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
103,Oh fuck ios14 auto update,"{'neg': 0.467, 'neu': 0.533, 'pos': 0.0, 'compound': -0.5423}"
104,Udh download iOS 14 but lazy to edit. Even though I want to be lazy hm,"{'neg': 0.326, 'neu': 0.602, 'pos': 0.073, 'compound': -0.7227}"
105,😇😇😇😇😇😇 IOS 14 Jailbreak Support Now ✅✅ iCloud Bypass GSM iPhone /6s/6s+/7/7/ 8/8+/X ([WITH SIGNAL] Supported ode…,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.6124}"
106,How to switch default email and browser apps in iOS 14 and iPadOS 14 #apple,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
107,Ios 14.1 🖕🏼,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
108,How to switch default email and browser apps in iOS 14 and iPadOS 14 #apple,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
110,"I got a notification saying ""How long will I get lost. I'm going to use iPad OS 14.1 tonight!"" (It's an individual impression), so if I set it to 14.1, there will be a warning on Wi-Fi. With iPhone iOS 13.6.1 and iPod touch iOS 12.4.8 ...","{'neg': 0.111, 'neu': 0.889, 'pos': 0.0, 'compound': -0.6114}"
111,afraid to update my phone for ios 14.1 and worsen the battery that already shit when I downloaded the 14,"{'neg': 0.289, 'neu': 0.711, 'pos': 0.0, 'compound': -0.7845}"
112,Update! Windows Full Untethered iCloud BypiOS 14.1 To 12.0 Fixed Battery Drain orestart…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
113,"Just gotta say the new PiP feature in iOS 14, allowing me to watch CNN and read Twitter at the same time on my iPhone, is pretty great.","{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.8074}"
115,Ios 14 goes color widget,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
116,Apple adds People Detection’ accessibility feature in iOS 14.2 Beta,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
118,"[IOS 14 ~] What to do if the iPhone's Wi-Fi connection is cut off or unstable-""Private Wi-Fi address"" on ⇔ off procedure","{'neg': 0.095, 'neu': 0.905, 'pos': 0.0, 'compound': -0.2732}"
119,Miro. The alarm on iOS 14 looks like garbage. # iOS14 #iPhone,"{'neg': 0.173, 'neu': 0.647, 'pos': 0.18, 'compound': 0.0258}"
121,"With iOS 14, change its location, iPhone Settings - Calendar - Accounts - Shared Calendars will be removed and deleted","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.34}"
124,Has anyone succeeded in #pairing #Bluetooth with # IC-705 and # iphone8 + (iOS 14.1)? I'm using S-MS1.,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.4215}"
125,"Hello Sis! anyone still looking for Premium Apps? let's just go ahead and DM for the order, about the guaranteed price is mura ...","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
126,"It drained my life, it was at 87% when iOS 14.1 came out, and today ... 🤡 And surprise, I already need to repair ...","{'neg': 0.098, 'neu': 0.82, 'pos': 0.082, 'compound': -0.1027}"
127,2. That's why in some places the Biden delegate count appears different. If you want to look at the updates ...,"{'neg': 0.0, 'neu': 0.939, 'pos': 0.061, 'compound': 0.0772}"
128,✨ Can activate and renew Apple Music iOS 14. WITHOUT ASKING PASSWOD t buy and sell activation to extend Apple Music Premium,"{'neg': 0.0, 'neu': 0.918, 'pos': 0.082, 'compound': 0.1779}"
129,ios 14’s reply function &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
130,Def likening IOS 14’s new default UIDatepicker. Visually more sleek and clean and also more interactive for the user,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.4522}"
131,"Don’t have to worry about this rubbish anymore thank you to iOS 14, ignore in perfect peace😴","{'neg': 0.22, 'neu': 0.528, 'pos': 0.252, 'compound': 0.2023}"
132,ios 14 gay asf 💀❗️❗️,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
133,Confirm if iOS 14 is ogt,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
134,ios 14 is delicious or not oyy really afraid to upgrade😭😭,"{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.5719}"
135,"아이폰12 사자마자 반드시 해야하는 iOS14 최신 버전 초기설정&amp;꿀팁 19가지 I 아이폰11, 아이폰X 가능 - @YouTube","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
136,Only goes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
137,APPLE MUSIC 🔥 (support ios 14) 3 bulan : 25.000 [ ios 14 +5rb ] Garansi | Aktivasi &amp; Perpanjang | Akun pribadi |…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
139,"Bitcoin price reclaims $14,000 and why $15,000 is imminently achievable - CoinGape via BTCnews for iOS","{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.3182}"
140,Bypass Premium iOS 14.1 Done!! #pcellUnlockers #Checkra1n,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
141,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Netflix today promo cum ...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
142,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Netflix's promo today cu…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
143,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Netflix today promo cum ...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
144,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Today's Netflix promo is only 3 ...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
145,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Today's Netflix promo is only 30K ...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
146,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Netflix promos today only ...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
147,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Netflix promos today only ...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
148,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Netflix today…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
149,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Netflix today promo cum ...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
150,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Netflix promos today only ...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
151,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Netflix today promo cum ...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
152,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Netflix promos today only ...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
153,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Netflix's promo today cu…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
154,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Netflix…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
155,Can someone help me find an aesthetic for my phone i wanna make it cute with the ios 14 🥺,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.6908}"
156,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Netflix promos today only ...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
157,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Today's Netflix promo is only 30K ...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
158,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Today's Netflix promo is only 30…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
159,"Another summary from this YouTube channel is - Will launch about 15 September, ios 14, open 19, the drug is sold 25-27 September - the screen is flat with the edge like Ip ...","{'neg': 0.0, 'neu': 0.925, 'pos': 0.075, 'compound': 0.3612}"
160,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Netflix today…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
161,#Technology [Live] - WWDC2020: iOS 14 launch (Vietnamese translation on Zingnews): Zing Technology of online narration ...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
162,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Netflix har…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
163,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Netflix today is pro…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
164,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Netflix promos today only ...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
165,Hello Sis! anyone still looking for Premium Apps? let's just go ahead and DM for the order yaa🤗 about the guaranteed price m ...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
166,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Today's Netflix promo is only 30…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
167,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Netflix promos today only ...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
168,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Today's Netflix promo is only 3 ...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
169,Hi sis🙋🏻‍♀️ I sell Spotify Premium for only 9K! Apple Music Can ios 14! Netflix today promo c ...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
